 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -354.776     -360.017     -359.714     -357.633     -356.622     -360.059     -360.334   
  -361.221     -361.323     -355.798     -358.465     -362.049     -357.826     -361.956   
  -362.709     -357.695     -362.936     -359.957     -362.665     -363.253     -359.435   
  -359.081     -364.833     -364.424     -361.448     -360.744     -363.869     -364.863   
  -366.219     -365.474     -361.084     -362.770     -365.360     -362.354     -365.073   
  -366.860     -362.134     -367.663     -364.262     -366.094     -366.970     -363.558   
  -363.520     -369.560     -368.575     -365.754     -364.867     -367.298     -368.579   
  -370.764     -370.185     -364.542     -367.209     -370.294     -366.071     -369.196   
  -371.389     -366.151     -371.121     -368.700     -370.910     -371.498     -367.968   
  -367.355     -372.730     -372.410     -370.192     -369.683     -372.114     -373.395   
  -374.340     -373.614     -368.847     -371.044     -375.490     -371.293     -373.164   
  -375.000     -369.896     -375.937     -372.536     -374.186     -377.100     -372.497   
  -371.283     -376.987     -377.003     -374.027     -373.518     -375.795     -378.304   
  -378.373     -378.900     -372.998     -374.972     -378.227     -374.722     -377.405   
  -380.286     -374.047     -379.865     -376.463     -378.426     -379.836     -375.926   
  -375.657     -381.068     -380.845     -377.955     -378.334     -380.036     -380.886   
  -382.455     -382.742     -377.372     -379.346     -382.155     -379.538     -381.645   
  -384.129     -379.269     -383.951     -380.837     -382.955     -383.359     -381.147   
  -380.473     -385.560     -384.749     -382.329     -382.862     -384.159     -385.256   
  -386.947     -386.647     -382.188     -383.821     -386.529     -384.066     -385.768   
  -388.256     -383.391     -388.203     -385.312     -388.176     -388.138     -385.116   
  -384.595     -389.812     -389.224     -386.804     -386.831     -389.380     -390.035   
  -391.016     -390.834     -385.617     -388.284     -391.409     -388.035     -391.277   
  -392.220     -387.514     -392.731     -389.776     -392.484     -392.613     -389.644   
  -388.901     -393.781     -394.223     -391.268     -390.666     -394.093     -393.817   
  -394.985     -395.832     -389.922     -392.589     -395.532     -391.870     -395.991   
  -397.218     -390.972     -396.987     -394.081     -396.501     -397.141     -393.074   
  -392.176     -398.597     -397.993     -395.573     -394.789     -397.705     -399.038   
